code,name,sector
000001,平安银行,金融
000002,万科A,房地产
000009,中国宝安,工业
000021,深科技,信息技术
000027,深圳能源,公用事业
000032,深桑达A,信息技术
000034,神州数码,信息技术
000039,中集集团,工业
000050,深天马A,信息技术
000060,中金岭南,原材料
000062,深圳华强,信息技术
000063,中兴通讯,通信服务
000088,盐田港,工业
000100,TCL科技,信息技术
000155,川能动力,公用事业
000157,中联重科,工业
000166,申万宏源,金融
000301,东方盛虹,原材料
000333,美的集团,可选消费
000338,潍柴动力,工业
000400,许继电气,工业
000408,藏格矿业,原材料
000415,渤海租赁,金融
000423,东阿阿胶,医药卫生
000425,徐工机械,工业
000426,兴业银锡,原材料
000429,粤高速A,工业
000513,丽珠集团,医药卫生
000519,中兵红箭,工业
000528,柳工,工业
000537,绿发电力,公用事业
000538,云南白药,医药卫生
000539,粤电力A,公用事业
000559,万向钱潮,工业
000563,陕国投A,金融
000568,泸州老窖,主要消费
000582,北部湾港,工业
000591,太阳能,公用事业
000596,古井贡酒,主要消费
000598,兴蓉环境,公用事业
000617,中油资本,金融
000623,吉林敖东,金融
000625,长安汽车,可选消费
000629,钒钛股份,原材料
000630,铜陵有色,原材料
000651,格力电器,可选消费
000657,中钨高新,原材料
000661,长春高新,医药卫生
000683,博源化工,原材料
000703,恒逸石化,原材料
000708,中信特钢,原材料
000709,河钢股份,原材料
000723,美锦能源,能源
000725,京东方A,信息技术
000728,国元证券,金融
000729,燕京啤酒,主要消费
000733,振华科技,信息技术
000738,航发控制,工业
000739,普洛药业,医药卫生
000750,国海证券,金融
000768,中航西飞,工业
000776,广发证券,金融
000783,长江证券,金融
000785,居然智家,可选消费
000786,北新建材,原材料
000792,盐湖股份,原材料
000807,云铝股份,原材料
000825,太钢不锈,原材料
000830,鲁西化工,原材料
000831,中国稀土,原材料
000858,五 粮 液,主要消费
000876,新 希 望,主要消费
000878,云南铜业,原材料
000883,湖北能源,公用事业
000887,中鼎股份,工业
000893,亚钾国际,原材料
000895,双汇发展,主要消费
000898,鞍钢股份,原材料
000921,海信家电,可选消费
000932,华菱钢铁,原材料
000933,神火股份,原材料
000937,冀中能源,能源
000938,紫光股份,信息技术
000951,中国重汽,工业
000958,电投产融,金融
000959,首钢股份,原材料
000960,锡业股份,原材料
000963,华东医药,医药卫生
000967,盈峰环境,工业
000975,山金国际,原材料
000977,浪潮信息,信息技术
000983,山西焦煤,能源
000987,越秀资本,金融
000997,新 大 陆,信息技术
000999,华润三九,医药卫生
